select saname, to_char(sapay*10000,'999,999,999') as "연급여",to_char(sapay*10000/12,'999,999,999') as "월급여",trunc(sapay*10000/12*0.05,-1) as "월세금" from sawon;

SQL> select saname, to_char(sapay*10000,'999,999,999') as "연급여",to_char(sapay*10000/12,'999,999,999') as "월급여",trunc(sapay*10000/12*0.05,-1) as "월세금" from sawon;

SANAME               연급여                   월급여                       월세금
-------------------- ------------------------ ------------------------ ----------
홍길동                 50,000,000                4,166,667                 208330
한국남                 30,000,000                2,500,000                 125000
이순신                 35,000,000                2,916,667                 145830
이순라                 12,000,000                1,000,000                  50000
놀기만                 23,000,000                1,916,667                  95830
뷰별나                 16,000,000                1,333,333                  66660
채시라                 34,000,000                2,833,333                 141660
이성계                 28,030,000                2,335,833                 116790
무궁화                 30,000,000                2,500,000                 125000
임꺽정                 22,000,000                1,833,333                  91660
깨똥이                 45,000,000                3,750,000                 187500
공부만                 40,030,000                3,335,833                 166790
채송화                 17,030,000                1,419,167                  70950
이미라                 25,030,000                2,085,833                 104290
공부해                 13,030,000                1,085,833                  54290
뷰명한                 18,000,000                1,500,000                  75000
무궁화                 11,000,000                  916,667                  45830
최진실                 20,000,000                1,666,667                  83330
김유신                  4,000,000                  333,333                  16660
강감찬                 10,030,000                  835,833                  41790

20 rows selected.
